Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Diff,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,Close_Lag_5,Volume_Lag_5,Close_Lag_7,Volume_Lag_7,Rolling_Mean_7,Rolling_Std_7,Rolling_Min_7,Rolling_Max_7,Rolling_Mean_14,Rolling_Std_14,Rolling_Min_14,Rolling_Max_14,Rolling_Mean_30,Rolling_Std_30,Rolling_Min_30,Rolling_Max_30,Year,Month,Day,DayOfWeek,Quarter,Month_Sin,Month_Cos
2018-06-29,118.43,118.94,118.26,118.65,8002828.0,121.25649999999999,122.88680000000001,120.7719110623466,17.92717086834749,-1.2741854929928564,-0.9997573755488074,-0.27442811744404905,118.22,7760936.0,118.58,6480064.0,119.26,8675447.0,120.34,4518408.0,120.26,4548491.0,119.28428571428572,0.8265764159570188,118.22,120.34,120.56357142857144,1.6762302354436596,118.22,123.38,121.79733333333334,1.64791390244195,118.22,123.59,2018,6,29,4,2,1.2246467991473532e-16,-1.0
2018-07-02,118.18,118.21,117.4,117.46,12021957.0,121.011,122.7034,120.45649096117074,16.161616161616294,-1.379353161878825,-1.075676532814811,-0.30367662906401405,118.65,8002828.0,118.22,7760936.0,118.58,6480064.0,119.89,9300195.0,120.05,5681906.0,118.91428571428571,0.9901827633066821,117.46,120.34,120.18071428571429,1.7323903641050757,117.46,123.38,121.63233333333334,1.8229696941318951,117.46,123.59,2018,7,2,0,3,-0.4999999999999997,-0.8660254037844388
2018-07-03,118.41,119.08,118.38,118.65,8900973.0,120.801,122.564,120.28444420296401,24.027459954233564,-1.3511015843749163,-1.130761543126832,-0.22034004124808426,117.46,12021957.0,118.65,8002828.0,118.22,7760936.0,119.26,8675447.0,120.34,4518408.0,118.67285714285715,0.7650645786543401,117.46,119.89,119.85642857142857,1.539988047626008,117.46,123.38,121.50466666666668,1.8942758298400704,117.46,123.59,2018,7,3,1,3,-0.4999999999999997,-0.8660254037844388
2018-07-05,118.92,119.33,118.77,119.05,4951873.0,120.6075,122.42039999999999,120.166878088396,25.810055865921882,-1.281661156594069,-1.1609414658202795,-0.12071969077378952,118.65,8900973.0,117.46,12021957.0,118.65,8002828.0,118.58,6480064.0,119.89,9300195.0,118.55285714285712,0.5876425865366919,117.46,119.26,119.54714285714284,1.167702732011655,117.46,121.34,121.39266666666666,1.9377340718760303,117.46,123.59,2018,7,5,3,3,-0.4999999999999997,-0.8660254037844388
2018-07-06,118.97,119.03,118.731,118.86,2947058.0,120.40749999999998,122.28939999999999,120.04241350854876,32.5352112676057,-1.2278071330438962,-1.1743145992650028,-0.0534925337788934,119.05,4951873.0,118.65,8900973.0,117.46,12021957.0,118.22,7760936.0,119.26,8675447.0,118.49571428571427,0.5233500148877022,117.46,119.05,119.37,1.057733425782616,117.46,121.11,121.27,1.9786463502319278,117.46,123.59,2018,7,6,4,3,-0.4999999999999997,-0.8660254037844388
2018-07-09,119.65,119.73,119.14,119.15,4075297.0,120.2145,122.17300000000002,119.95742174582983,36.31284916201129,-1.1484878025354277,-1.1691492399190877,0.020661437383659997,118.86,2947058.0,119.05,4951873.0,118.65,8900973.0,118.65,8002828.0,118.58,6480064.0,118.57714285714287,0.5799343148249964,117.46,119.15,119.23,0.9319458551551802,117.46,120.8,121.12200000000001,1.9651364785393297,117.46,123.38,2018,7,9,0,3,-0.4999999999999997,-0.8660254037844388
2018-07-10,118.89,119.0,118.61,118.93,3754770.0,119.99950000000001,122.04160000000002,119.8595720557508,36.77510608203691,-1.0908047053844996,-1.1534803330121701,0.06267562762767054,119.15,4075297.0,118.86,2947058.0,119.05,4951873.0,117.46,12021957.0,118.22,7760936.0,118.67857142857143,0.5690468220647775,117.46,119.15,119.09642857142856,0.8164708967823547,117.46,120.34,120.97933333333334,1.9636839645470265,117.46,123.38,2018,7,10,1,3,-0.4999999999999997,-0.8660254037844388
2018-07-11,118.45,118.53,117.62,117.64,6974791.0,119.7405,121.9026,119.6481842409174,33.24808184143231,-1.1360865557034856,-1.1500015775504333,0.013915021846947706,118.93,3754770.0,119.15,4075297.0,118.86,2947058.0,118.65,8900973.0,118.65,8002828.0,118.53428571428572,0.692215215629961,117.46,119.15,118.90928571428572,0.8294155893146058,117.46,120.34,120.79433333333333,2.0091423514726334,117.46,123.38,2018,7,11,2,3,-0.4999999999999997,-0.8660254037844388
2018-07-12,118.0,118.2638,117.94,118.13,4585460.0,119.4875,121.791,119.50359526559194,38.14814814814819,-1.1195286144354242,-1.1439069849274315,0.024378370492007306,117.64,6974791.0,118.93,3754770.0,119.15,4075297.0,119.05,4951873.0,117.46,12021957.0,118.63,0.550787315262797,117.64,119.15,118.77214285714285,0.7837697716567946,117.46,120.34,120.61966666666667,2.005271472428597,117.46,123.38,2018,7,12,3,3,-0.4999999999999997,-0.8660254037844388
2018-07-13,117.62,117.75,117.4465,117.61,5444284.0,119.199,121.67019999999998,119.32325285934508,33.6134453781513,-1.1352791890608813,-1.1421814257541214,0.0069022366932400825,118.13,4585460.0,117.64,6974791.0,118.93,3754770.0,118.86,2947058.0,118.65,8900973.0,118.48142857142857,0.6715263353252383,117.61,119.15,118.57714285714287,0.6986737829366153,117.46,119.89,120.43666666666667,2.021553402929134,117.46,123.38,2018,7,13,4,3,-0.4999999999999997,-0.8660254037844388
2018-07-16,117.51,117.625,117.28,117.55,3670943.0,119.0095,121.53559999999999,119.15437163464554,35.26448362720406,-1.1394680530658832,-1.1416387512164738,0.0021706981505906775,117.61,5444284.0,118.13,4585460.0,117.64,6974791.0,119.15,4075297.0,119.05,4951873.0,118.26714285714284,0.6986347229977848,117.55,119.15,118.41,0.6376760692143705,117.46,119.26,120.27199999999999,2.0495321585523234,117.46,123.38,2018,7,16,0,3,-0.4999999999999997,-0.8660254037844388
2018-07-17,116.72,116.925,116.12,116.28,7939635.0,118.76799999999999,121.37039999999999,118.88062195515549,32.634032634032664,-1.2310750769664907,-1.1595260163664771,-0.07154906060001354,117.55,3670943.0,117.61,5444284.0,118.13,4585460.0,118.93,3754770.0,118.86,2947058.0,117.89857142857144,0.9639230358463831,116.28,119.15,118.19714285714285,0.8070023217257087,116.28,119.15,120.069,2.1344067252845487,116.28,123.38,2018,7,17,1,3,-0.4999999999999997,-0.8660254037844388
